어휘,분류,난이도
구성하다,학습도구어,3
구역,학습도구어,3
구조,학습도구어,4
구조물,학습도구어,3
구조성,학습도구어,7
구조적,학습도구어,5
구조화,학습도구어,5
구조화되다,학습도구어,6
구조화하다,학습도구어,5
구체,학습도구어,4
구체성,학습도구어,5
구체적,학습도구어,3
구체화,학습도구어,5
구체화되다,학습도구어,4
구체화하다,학습도구어,5
구축,학습도구어,5
구축되다,학습도구어,5
구축하다,학습도구어,4
구현,학습도구어,5
구현되다,학습도구어,5
구현하다,학습도구어,5
국면,학습도구어,5
궁극,학습도구어,4
궁극적,학습도구어,3
귀결,학습도구어,4
귀결되다,학습도구어,5
귀결하다,학습도구어,5
규명,학습도구어,5
규명되다,학습도구어,5
규명하다,학습도구어,4
규범,학습도구어,3
규범적,학습도구어,4
규범화,학습도구어,6
규정,학습도구어,4
규정되다,학습도구어,4
규정성,학습도구어,6
규정짓다,학습도구어,5
규정하다,학습도구어,3
규제,학습도구어,4
규제되다,학습도구어,5
규제하다,학습도구어,4
규칙,학습도구어,2
규칙성,학습도구어,5
규칙적,학습도구어,2
규칙화,학습도구어,7
규칙화되다,학습도구어,7
규칙화하다,학습도구어,7
균형,학습도구어,3
균형적,학습도구어,4
극단,학습도구어,4
극단적,학습도구어,3
극대,학습도구어,4
극대화,학습도구어,4
극대화하다,학습도구어,5
극복,학습도구어,3
극복되다,학습도구어,3
극복하다,학습도구어,2
근거,학습도구어,2
근거하다,학습도구어,3
근본,학습도구어,3
근본적,학습도구어,3
근원,학습도구어,3
근원적,학습도구어,5
근접,학습도구어,5
근접되다,학습도구어,5
근접하다,학습도구어,4
급격,학습도구어,3
급격하다,학습도구어,3
급속,학습도구어,4
급속하다,학습도구어,3
급진,학습도구어,4
급진적,학습도구어,3
긍정,학습도구어,4
긍정되다,학습도구어,4
긍정성,학습도구어,6
긍정적,학습도구어,3
긍정하다,학습도구어,4
기각되다,학습도구어,5
기각하다,학습도구어,5
기구,학습도구어,3
기능,학습도구어,4
기능성,학습도구어,5
기능적,학습도구어,5
기대,학습도구어,2
기대되다,학습도구어,2
기대하다,학습도구어,2
기록,학습도구어,2
기록적,학습도구어,3
기록화,학습도구어,4
기반,학습도구어,3
기법,학습도구어,3
기본,학습도구어,2
기본적,학습도구어,3
기술01,학습도구어,4
기술02,학습도구어,5
기술되다,학습도구어,4
기술하다,학습도구어,4
기억,학습도구어,1
기억되다,학습도구어,2
기억하다,학습도구어,2
기여,학습도구어,4
기여하다,학습도구어,3
기원01,학습도구어,4
기원02,학습도구어,4
기원하다,학습도구어,3
기인,학습도구어,5
기인되다,학습도구어,5
기인하다,학습도구어,4
기저,학습도구어,5
기제,학습도구어,5
기존,학습도구어,3
기준,학습도구어,2
기준점,학습도구어,3
기초,학습도구어,2
기초적,학습도구어,4
기초하다,학습도구어,3
기타,학습도구어,3
기호,학습도구어,3
긴밀,학습도구어,4
긴밀하다,학습도구어,4
나열,학습도구어,4
나열되다,학습도구어,4
나열하다,학습도구어,3
난점,학습도구어,5
내면,학습도구어,4
내면적,학습도구어,3
내면화,학습도구어,4
내면화되다,학습도구어,4
내면화하다,학습도구어,4
내부,학습도구어,2
내부적,학습도구어,3
내외,학습도구어,2
내용,학습도구어,1
내용물,학습도구어,2
내재,학습도구어,5
내재되다,학습도구어,6
내재성,학습도구어,6
내재적,학습도구어,5
내재하다,학습도구어,6
내적,학습도구어,4
내포,학습도구어,4
내포되다,학습도구어,4
내포하다,학습도구어,4
노출,학습도구어,3
노출되다,학습도구어,3
노출하다,학습도구어,3
논거,학습도구어,4
논란,학습도구어,5
논리,학습도구어,4
논리성,학습도구어,5
논문,학습도구어,3
논술,학습도구어,4
논술되다,학습도구어,5
논술하다,학습도구어,4
논의,학습도구어,4
논의되다,학습도구어,4
논의하다,학습도구어,3
논쟁,학습도구어,3
논쟁적,학습도구어,4
논점,학습도구어,5
논증,학습도구어,4
논증되다,학습도구어,5
논증적,학습도구어,6
논증하다,학습도구어,4
논지,학습도구어,4
논하다,학습도구어,4
누적,학습도구어,4
누적되다,학습도구어,4
누적하다,학습도구어,6
능동,학습도구어,4
능동성,학습도구어,4
능동적,학습도구어,3
다소,학습도구어,3
다양,학습도구어,3
다양성,학습도구어,3
다양하다,학습도구어,2
다양화,학습도구어,5
다양화되다,학습도구어,5
다양화하다,학습도구어,5
단계,학습도구어,3
단계성,학습도구어,7
단계적,학습도구어,3
단기간,학습도구어,4
단면,학습도구어,3
단면도,학습도구어,3
단서,학습도구어,4
단순,학습도구어,2
단순성,학습도구어,5
단순하다,학습도구어,2
단순화,학습도구어,4
단순화되다,학습도구어,5
단순화하다,학습도구어,5
단언,학습도구어,4
단언하다,학습도구어,4
단위,학습도구어,3
단일,학습도구어,3
단일화,학습도구어,4
단일화되다,학습도구어,5
단일화하다,학습도구어,5
단적,학습도구어,4
단절,학습도구어,4
단절되다,학습도구어,5
단절하다,학습도구어,4
단점,학습도구어,3
단정되다,학습도구어,5
단정적,학습도구어,4
달성,학습도구어,4
달성되다,학습도구어,3
달성하다,학습도구어,3
담당,학습도구어,4
담당하다,학습도구어,3
대규모,학습도구어,3
대두,학습도구어,5
대두되다,학습도구어,4
대두하다,학습도구어,5
대등,학습도구어,4
대등하다,학습도구어,4
대략,학습도구어,3
대략적,학습도구어,4
대립,학습도구어,3
대립되다,학습도구어,3
대립성,학습도구어,6
대립적,학습도구어,4
대변,학습도구어,5
대변하다,학습도구어,4
대별,학습도구어,5
대별되다,학습도구어,5
대별하다,학습도구어,5
대비,학습도구어,3
대비되다,학습도구어,4
대비하다,학습도구어,3
대상,학습도구어,4
대상물,학습도구어,5
대상자,학습도구어,4
대상화되다,학습도구어,6
대상화하다,학습도구어,5
대신,학습도구어,3
대신하다,학습도구어,2
대안,학습도구어,5
대응,학습도구어,3
대응되다,학습도구어,5
대응하다,학습도구어,3
대조,학습도구어,3
대조되다,학습도구어,2
대조적,학습도구어,3
대조하다,학습도구어,3
대책,학습도구어,2
대처,학습도구어,4
대처하다,학습도구어,3
대체,학습도구어,4
대체되다,학습도구어,5
대체적,학습도구어,3
대체하다,학습도구어,4
대치,학습도구어,5
대치되다,학습도구어,5
대치하다,학습도구어,4
대폭,학습도구어,4
대폭적,학습도구어,5
대표,학습도구어,2
대표성,학습도구어,5
대표적,학습도구어,2
대표하다,학습도구어,3
도구,학습도구어,2
도달,학습도구어,4
도달되다,학습도구어,3
도달하다,학습도구어,3
도모,학습도구어,3
도모하다,학습도구어,4
도식,학습도구어,5
도식화,학습도구어,5
도식화되다,학습도구어,6
도식화하다,학습도구어,5
도입,학습도구어,3
도입되다,학습도구어,4
도입하다,학습도구어,4
도출,학습도구어,5
도출되다,학습도구어,5
도출하다,학습도구어,5
도표,학습도구어,3
독립,학습도구어,4
독립성,학습도구어,4
독립적,학습도구어,3
독자,학습도구어,4
독자성,학습도구어,5
독자적,학습도구어,3
독창,학습도구어,4
독창성,학습도구어,4
독창적,학습도구어,3
독특,학습도구어,3
독특성,학습도구어,5
독특하다,학습도구어,2
동등,학습도구어,4
동등하다,학습도구어,4
동시적,학습도구어,2
동원,학습도구어,4
동원되다,학습도구어,3
동원하다,학습도구어,3
동의,학습도구어,4
동의하다,학습도구어,3
동일,학습도구어,4
동일성,학습도구어,5
동일시,학습도구어,4
동일시되다,학습도구어,5
동일시하다,학습도구어,5
동일하다,학습도구어,3
동일화,학습도구어,5
동적,학습도구어,5
동질,학습도구어,5
동질성,학습도구어,4
동질적,학습도구어,5
동질화,학습도구어,4
동질화되다,학습도구어,5
동질화하다,학습도구어,5
동화,학습도구어,5
동화되다,학습도구어,4
동화하다,학습도구어,5
등장,학습도구어,2
등장하다,학습도구어,3
매개,학습도구어,4
매개체,학습도구어,5
매개하다,학습도구어,5
맥락,학습도구어,4
명료,학습도구어,4
명료성,학습도구어,5
명료하다,학습도구어,4
명명,학습도구어,4
명명되다,학습도구어,5
명명하다,학습도구어,4
명백,학습도구어,2
명백성,학습도구어,4
명백하다,학습도구어,2
명시,학습도구어,5
명시되다,학습도구어,5
명시성,학습도구어,7
명시적,학습도구어,5
명시하다,학습도구어,4
명확,학습도구어,4
명확성,학습도구어,4
명확하다,학습도구어,4
모범,학습도구어,3
모범적,학습도구어,3
모순,학습도구어,3
모순되다,학습도구어,4
모순성,학습도구어,5
모순적,학습도구어,4
모형,학습도구어,3
모형화,학습도구어,7
모호,학습도구어,4
모호성,학습도구어,5
모호하다,학습도구어,4
목록,학습도구어,2
목적,학습도구어,2
목적성,학습도구어,5
목차,학습도구어,4
목표,학습도구어,2
무관,학습도구어,4
무관하다,학습도구어,4
무분별,학습도구어,5
무분별하다,학습도구어,4
무비판,학습도구어,5
무비판적,학습도구어,5
무시,학습도구어,3
무시되다,학습도구어,3
무시하다,학습도구어,2
무의미,학습도구어,4
무의미하다,학습도구어,4
무의식,학습도구어,4
무의식적,학습도구어,4
무작위,학습도구어,5
무조건적,학습도구어,3
무질서,학습도구어,3
무질서하다,학습도구어,3
무한,학습도구어,4
무한성,학습도구어,5
무한정,학습도구어,4
무한하다,학습도구어,3
무형,학습도구어,3
문제점,학습도구어,2
문제화,학습도구어,4
문제화하다,학습도구어,4
문헌,학습도구어,4
물질,학습도구어,2
물질적,학습도구어,3
미세,학습도구어,4
미세하다,학습도구어,4
미시,학습도구어,5
미시적,학습도구어,5
미흡,학습도구어,5
미흡하다,학습도구어,4
밀접,학습도구어,4
밀접하다,학습도구어,3
반대,학습도구어,2
반대되다,학습도구어,3
반대하다,학습도구어,2
반론,학습도구어,5
반면,학습도구어,3
반문,학습도구어,4
반문하다,학습도구어,3
반박,학습도구어,5
반박되다,학습도구어,5
반박하다,학습도구어,4
반복,학습도구어,3
반복되다,학습도구어,2
반복하다,학습도구어,2
반영,학습도구어,4
반영되다,학습도구어,3
반영하다,학습도구어,3
반응,학습도구어,2
반응성,학습도구어,5
반응하다,학습도구어,3
발견,학습도구어,2
발견되다,학습도구어,2
발견하다,학습도구어,1
발달,학습도구어,2
발달되다,학습도구어,3
발달하다,학습도구어,2
발생,학습도구어,3
발생되다,학습도구어,3
발생적,학습도구어,3
발생하다,학습도구어,2
발전,학습도구어,3
발전되다,학습도구어,3
발전상,학습도구어,3
발전성,학습도구어,5
발전적,학습도구어,4
발표,학습도구어,2
발표되다,학습도구어,3
발표하다,학습도구어,2
발휘,학습도구어,3
발휘되다,학습도구어,3
발휘하다,학습도구어,2
방법,학습도구어,1
방식,학습도구어,2
방안,학습도구어,4
방어,학습도구어,4
방어적,학습도구어,3
방어하다,학습도구어,3
방지,학습도구어,3
방지되다,학습도구어,4
방지하다,학습도구어,3
방향,학습도구어,1
배경,학습도구어,2
배열,학습도구어,4
배열되다,학습도구어,4
배열하다,학습도구어,4
배제,학습도구어,5
배제되다,학습도구어,5
배제하다,학습도구어,4
배치,학습도구어,5
배치되다,학습도구어,3
배치하다,학습도구어,3
배타,학습도구어,5
배타성,학습도구어,5
배타적,학습도구어,4
배타하다,학습도구어,5
범위,학습도구어,3
범주,학습도구어,4
법칙,학습도구어,3
변경,학습도구어,3
변경되다,학습도구어,4
변경하다,학습도구어,4
변동,학습도구어,3
변동되다,학습도구어,4
변동성,학습도구어,6
변동하다,학습도구어,4
변별,학습도구어,5
변별되다,학습도구어,5
변별력,학습도구어,6
변별성,학습도구어,4
변별하다,학습도구어,4
변수,학습도구어,5
변인,학습도구어,5
변천,학습도구어,4
변천되다,학습도구어,5
변천하다,학습도구어,4
변형,학습도구어,3
변형되다,학습도구어,4
변형하다,학습도구어,4
변화,학습도구어,2
변화되다,학습도구어,2
변화하다,학습도구어,2
변환,학습도구어,5
변환하다,학습도구어,5
별개,학습도구어,3
별도,학습도구어,3
병행,학습도구어,4
병행되다,학습도구어,5
병행하다,학습도구어,5
보고,학습도구어,2
보고되다,학습도구어,3
보고하다,학습도구어,3
보관,학습도구어,3
보관되다,학습도구어,3
보관하다,학습도구어,3
보급,학습도구어,3
보급되다,학습도구어,3
보급하다,학습도구어,3
보수,학습도구어,4
보수성,학습도구어,5
보수적,학습도구어,3
보완,학습도구어,4
보완되다,학습도구어,5
보완하다,학습도구어,4
보유,학습도구어,4
보유되다,학습도구어,4
보유하다,학습도구어,3
보장,학습도구어,4
보장되다,학습도구어,4
보장하다,학습도구어,4
보조,학습도구어,3
보조적,학습도구어,4
보조화,학습도구어,6
보존,학습도구어,2
보존되다,학습도구어,3
보존하다,학습도구어,2
보충,학습도구어,4
보충되다,학습도구어,4
보충적,학습도구어,4
보충하다,학습도구어,3
보편,학습도구어,4
보편성,학습도구어,4
보편적,학습도구어,3
보편화,학습도구어,4
보편화되다,학습도구어,4
보편화하다,학습도구어,5
보호,학습도구어,2
보호되다,학습도구어,3
보호하다,학습도구어,2
복잡,학습도구어,2
복잡성,학습도구어,5
복잡하다,학습도구어,2
복합,학습도구어,4
복합적,학습도구어,4
복합체,학습도구어,5
본격,학습도구어,4
본격적,학습도구어,3
본격화,학습도구어,5
본격화되다,학습도구어,5
본격화하다,학습도구어,5
본론,학습도구어,4
본문,학습도구어,3
본질,학습도구어,4
본질적,학습도구어,5
봉착,학습도구어,5
봉착되다,학습도구어,6
봉착하다,학습도구어,5
부가,학습도구어,4
부가되다,학습도구어,5
부가적,학습도구어,5
부가하다,학습도구어,5
부각,학습도구어,5
부각되다,학습도구어,4
부각하다,학습도구어,5
부록,학습도구어,4
부분,학습도구어,1
부분적,학습도구어,2
부속,학습도구어,5
부속되다,학습도구어,4
부수,학습도구어,5
부수적,학습도구어,4
부여,학습도구어,2
부여되다,학습도구어,3
부여하다,학습도구어,3
부응,학습도구어,5
부응하다,학습도구어,5
부인,학습도구어,4
부인되다,학습도구어,4
부인하다,학습도구어,3
부작용,학습도구어,3
부재,학습도구어,3
부재하다,학습도구어,4
부정,학습도구어,2
부정되다,학습도구어,3
부정성,학습도구어,6
부정적,학습도구어,2
부정하다,학습도구어,3
부조화,학습도구어,5
부조화하다,학습도구어,6
부족,학습도구어,2
부족하다,학습도구어,1
부주의,학습도구어,3
부주의하다,학습도구어,4
부합,학습도구어,6
부합되다,학습도구어,4
부합하다,학습도구어,4
부호,학습도구어,2
분류,학습도구어,2
분류되다,학습도구어,3
분류하다,학습도구어,3
분리,학습도구어,3
분리되다,학습도구어,4
분리하다,학습도구어,4
분명,학습도구어,2
분명하다,학습도구어,2
분별,학습도구어,4
분별력,학습도구어,4
분별하다,학습도구어,3
분산,학습도구어,4
분산되다,학습도구어,5
분산하다,학습도구어,5
분석,학습도구어,4
분석되다,학습도구어,3
분석력,학습도구어,5
분석적,학습도구어,3
분석하다,학습도구어,4
분야,학습도구어,2
분포,학습도구어,3
분할되다,학습도구어,5
분할하다,학습도구어,4
분화,학습도구어,4
분화되다,학습도구어,4
분화하다,학습도구어,5
불가능성,학습도구어,5
불가능하다,학습도구어,3
불가피,학습도구어,4
불가피성,학습도구어,5
불가피하다,학습도구어,4
불과하다,학습도구어,3
불규칙,학습도구어,3
불규칙성,학습도구어,6
불규칙하다,학습도구어,2
불균형,학습도구어,4
불균형적,학습도구어,5
불명확,학습도구어,4
불명확성,학습도구어,4
불명확하다,학습도구어,4
불변,학습도구어,4
불변성,학습도구어,5
불변하다,학습도구어,3
불일치,학습도구어,4
불일치하다,학습도구어,5
불충분하다,학습도구어,5
불특정,학습도구어,5
불합리성,학습도구어,5
불합리적,학습도구어,4
비공개,학습도구어,5
비공개적,학습도구어,4
비과학적,학습도구어,4
비교,학습도구어,2
비교되다,학습도구어,2
비교적,학습도구어,3
비교하다,학습도구어,2
비논리적,학습도구어,5
비례,학습도구어,3
비례적,학습도구어,4
비례하다,학습도구어,3
비약,학습도구어,4
비약적,학습도구어,4
비율,학습도구어,3
비판,학습도구어,2
비판되다,학습도구어,3
비판적,학습도구어,3
비판하다,학습도구어,4
비합리성,학습도구어,5
비합리적,학습도구어,5
빈도,학습도구어,4
빈번,학습도구어,4
빈번하다,학습도구어,4
사고,학습도구어,3
사고력,학습도구어,4
사고하다,학습도구어,4
사례,학습도구어,4
사료,학습도구어,6
사료되다,학습도구어,5
사료하다,학습도구어,6
사물,학습도구어,2
사상,학습도구어,4
사상성,학습도구어,4
사상적,학습도구어,3
사실,학습도구어,1
사실상,학습도구어,3
사안,학습도구어,5
사적,학습도구어,4
사전,학습도구어,4
사정,학습도구어,5
사태,학습도구어,3
사항,학습도구어,2
사회,학습도구어,2
사회성,학습도구어,4
사회적,학습도구어,2
사후,학습도구어,5
삭제,학습도구어,4
삭제되다,학습도구어,5
삭제하다,학습도구어,5
산출,학습도구어,6
산출되다,학습도구어,4
산출하다,학습도구어,4
삼차,학습도구어,5
삼차원,학습도구어,4
삽입,학습도구어,5
삽입되다,학습도구어,5
삽입하다,학습도구어,5
상관,학습도구어,2
상관성,학습도구어,4
상관없다,학습도구어,2
상관있다,학습도구어,3
상관적,학습도구어,3
상기,학습도구어,5
상기되다,학습도구어,3
상기하다,학습도구어,4
상당,학습도구어,3
상당수,학습도구어,4
상당하다,학습도구어,4
상대,학습도구어,3
상대성,학습도구어,4
상대적,학습도구어,3
상반,학습도구어,5
상반되다,학습도구어,4
상부,학습도구어,4
상상,학습도구어,2
상상되다,학습도구어,3
상상력,학습도구어,3
상상적,학습도구어,3
상상하다,학습도구어,2
상세,학습도구어,3
상세하다,학습도구어,3
상술,학습도구어,6
상술하다,학습도구어,5
상승,학습도구어,4
상승되다,학습도구어,5
상승하다,학습도구어,4
상실,학습도구어,4
상실되다,학습도구어,5
상실하다,학습도구어,4
상위,학습도구어,4
상응,학습도구어,5
상응되다,학습도구어,6
상응하다,학습도구어,5
상이,학습도구어,5
상이하다,학습도구어,5
상정되다,학습도구어,5
상정하다,학습도구어,5
상징,학습도구어,2
상징되다,학습도구어,3
상징성,학습도구어,5
상징적,학습도구어,3
상징하다,학습도구어,4
상징화,학습도구어,5
상징화되다,학습도구어,6
상징화하다,학습도구어,5
상충,학습도구어,5
상충되다,학습도구어,4
상충하다,학습도구어,5
상통,학습도구어,6
상통되다,학습도구어,5
상통하다,학습도구어,5
상호,학습도구어,3
상황,학습도구어,4
생략,학습도구어,2
생략되다,학습도구어,3
생략하다,학습도구어,2
생산,학습도구어,2
생산되다,학습도구어,2
생산성,학습도구어,4
생산적,학습도구어,2
생산하다,학습도구어,2
